Country_Code,GNI_per_capita,year_collected
MWI,250,2014
BDI,270,2014
CAF,320,2014
LBR,370,2014
COD,380,2014
NER,410,2014
MDG,440,2014
GIN,470,2014
ETH,550,2014
GNB,550,2014
TGO,570,2014
MOZ,600,2014
LIC,628.609001540913,2014
MLI,650,2014
UGA,670,2014
AFG,680,2014
BFA,700,2014
RWA,700,2014
SLE,700,2014
NPL,730,2014
COM,790,2014
HTI,820,2014
ZWE,840,2014
LDC,844.042166017129,2014
HPC,860.707460883787,2014
BEN,890,2014
TZA,920,2014
SSD,970,2014
TCD,980,2014
KHM,1020,2014
SEN,1050,2014
BGD,1080,2014
TJK,1080,2014
KGZ,1250,2014
MMR,1270,2014
MRT,1270,2014
KEN,1290,2014
LSO,1330,2014
CMR,1350,2014
PAK,1400,2014
CIV,1450,2014
SAS,1496.38142266881,2014
FCS,1552.34043772265,2014
IND,1570,2014
GHA,1590,2014
SSA,1638.17607831871,2014
SSF,1646.507118697,2014
LAO,1660,2014
STP,1670,2014
ZMB,1680,2014
SDN,1710,2014
SLB,1830,2014
NIC,1870,2014
VNM,1890,2014
LMC,2011.93795031098,2014
UZB,2090,2014
PNG,2240,2014
HND,2270,2014
BTN,2370,2014
MDA,2560,2014
TLS,2680,2014
COG,2720,2014
BOL,2870,2014
KIR,2950,2014
NGA,2970,2014
EGY,3050,2014
PSE,3060,2014
MAR,3070,2014
VUT,3160,2014
FSM,3200,2014
GTM,3430,2014
CPV,3450,2014
LKA,3460,2014
PHL,3500,2014
SWZ,3550,2014
UKR,3560,2014
IDN,3630,2014
PSS,3713.67950336799,2014
GEO,3720,2014
SLV,3920,2014
KSV,3990,2014
ARM,4020,2014
WSM,4060,2014
TUN,4230,2014
LMY,4238.34791916701,2014
TON,4260,2014
MNG,4280,2014
MHL,4390,2014
PRY,4400,2014
ALB,4450,2014
OSS,4466.14730529969,2014
MIC,4666.262724389,2014
BIH,4760,2014
FJI,4870,2014
JAM,5150,2014
MKD,5150,2014
JOR,5160,2014
DZA,5490,2014
NAM,5630,2014
SST,5656.69125863579,2014
TUV,5720,2014
THA,5780,2014
SRB,5820,2014
DOM,6040,2014
ECU,6090,2014
EAP,6156.01739139977,2014
PER,6360,2014
MDV,6410,2014
IRQ,6500,2014
VCT,6610,2014
ZAF,6800,2014
ECA,6891.85867977221,2014
DMA,6930,2014
BWA,7240,2014
LCA,7260,2014
MNE,7320,2014
BLR,7340,2014
CHN,7400,2014
AZE,7590,2014
BGR,7620,2014
LBY,7820,2014
UMC,7901.3193752304,2014
GRD,7910,2014
COL,7970,2014
TKM,8020,2014
LAC,8989.54233455756,2014
ROU,9520,2014
MUS,9630,2014
GAB,9720,2014
EAS,9726.13884270989,2014
LCN,9812.05066894438,2014
MEX,9870,2014
SUR,9950,2014
CSS,9955.40084431983,2014
LBN,10030,2014
CRI,10120,2014
GNQ,10210,2014
WLD,10787.3520947217,2014
TUR,10830,2014
PLW,11110,2014
MYS,11120,2014
PAN,11130,2014
BRA,11530,2014
KAZ,11850,2014
HRV,12980,2014
RUS,13220,2014
ATG,13300,2014
HUN,13340,2014
CEB,13434.2663629954,2014
ARG,13480,2014
POL,13690,2014
SYC,14100,2014
CHL,14910,2014
KNA,14920,2014
LVA,15280,2014
LTU,15430,2014
URY,16350,2014
SVK,17750,2014
CZE,18370,2014
NOC,18938.6986202443,2014
EST,19030,2014
TTO,20070,2014
BHS,20980,2014
PRT,21360,2014
SVN,23580,2014
ECS,25415.8089670045,2014
CYP,26370,2014
KOR,27090,2014
ESP,29440,2014
ITA,34270,2014
ISR,35320,2014
EUU,35717.6293500988,2014
HIC,38274.3067526922,2014
OED,38882.7687968571,2014
EMU,39161.6434755233,2014
HKG,40320,2014
NZL,41070,2014
JPN,42000,2014
FRA,42960,2014
GBR,43430,2014
OEC,44272.3153122538,2014
ARE,44600,2014
IRL,46550,2014
BEL,47260,2014
DEU,47640,2014
FIN,48420,2014
KWT,49300,2014
AUT,49670,2014
CAN,51630,2014
NLD,51890,2014
NAC,54849.814263849,2014
SGP,55150,2014
USA,55200,2014
DNK,61310,2014
SWE,61610,2014
AUS,64540,2014
LUX,75990,2014
MAC,76270,2014
QAT,92200,2014
NOR,103630,2014
ABW,,
AND,43270,2013
AGO,,
ARB,7429.44769447332,2013
ASM,,
BHR,21060,2013
BLZ,4350,2013
BMU,106140,2013
BRB,,
BRN,,
CHE,88120,2013
CHI,,
CUB,5880,2011
CUW,,
CYM,,
DJI,,
ERI,480,2011
FRO,,
GMB,500,2013
GRC,22680,2013
GRL,,
GUM,,
GUY,3940,2013
IMN,,
INX,,
IRN,7120,2013
ISL,46350,2013
LIE,,
MAF,,
MCO,,
MEA,8697.75521068087,2013
MLT,21000,2013
MNA,4722.41693651166,2013
MNP,,
NCL,,
OMN,16870,2013
PRI,19310,2013
PRK,,
PYF,,
SAU,25140,2013
SMR,,
SOM,,
SXM,,
SYR,,
TCA,,
VEN,12500,2012
VIR,,
YEM,1300,2013
