Quarter,Geographical region,Country of nationality,"Total Family",Partner ,"Partner (for immediate settlement)",Child ,"Child (for immediate settlement)",Other ,"Other (for immediate settlement)"
2005 Q1,*Total,*Total,"15,943","10,957","1,016",19,"1,393","2,211",347
2005 Q1,Africa North,*Total Africa North,471,433,7,0,2,27,2
2005 Q1,Africa Sub-Saharan,*Total Africa Sub-Saharan,"3,563","1,289",269,0,404,"1,447",154
2005 Q1,America North,*Total America North,857,686,136,0,31,0,4
2005 Q1,America Central and South,*Total America Central and South,739,658,29,5,37,5,5
2005 Q1,Asia Central,*Total Asia Central,353,130,5,0,5,208,5
2005 Q1,Asia East,*Total Asia East,428,329,34,1,42,17,5
2005 Q1,Asia South,*Total Asia South,"5,627","4,527",267,4,576,121,132
2005 Q1,Asia South East,*Total Asia South East,"1,201",998,36,6,152,4,5
2005 Q1,EU 14,*Total EU 14,0,0,0,0,0,0,0
2005 Q1,EU 2,*Total EU 2,142,130,3,0,7,0,2
2005 Q1,EU 8,*Total EU 8,1,1,0,0,0,0,0
2005 Q1,EU Other,*Total EU Other,37,34,0,0,0,2,1
2005 Q1,Europe Other,*Total Europe Other,"1,209","1,017",15,2,23,140,12
2005 Q1,Middle East,*Total Middle East,608,312,21,0,35,231,9
2005 Q1,Oceania,*Total Oceania,670,390,193,0,77,0,10
2005 Q1,Other,*Total Other,37,23,1,1,2,9,1
2005 Q1,Asia Central,Afghanistan,316,103,1,0,2,205,5
2005 Q1,Europe Other,Albania,286,272,1,0,6,7,0
2005 Q1,Africa North,Algeria,81,78,0,0,0,3,0
2005 Q1,Oceania,American Samoa,0,0,0,0,0,0,0
2005 Q1,Europe Other,Andorra,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Angola,4,4,0,0,0,0,0
2005 Q1,Other,Anguilla (British),0,0,0,0,0,0,0
2005 Q1,America Central and South,Antigua and Barbuda,4,4,0,0,0,0,0
2005 Q1,America Central and South,Argentina,24,23,0,0,0,0,1
2005 Q1,Europe Other,Armenia,2,2,0,0,0,0,0
2005 Q1,America Central and South,Aruba,0,0,0,0,0,0,0
2005 Q1,Oceania,Australia,451,253,133,0,59,0,6
2005 Q1,EU 14,Austria,0,0,0,0,0,0,0
2005 Q1,Europe Other,Azerbaijan,24,14,0,0,0,10,0
2005 Q1,America Central and South,"Bahamas, The",1,0,1,0,0,0,0
