Country Name,Country Code,Year,Value
Arab World,ARB,2014,377044131
Caribbean small states,CSS,2014,7038789
Central Europe and the Baltics,CEB,2014,103455497
East Asia & Pacific (all income levels),EAS,2014,2263726076
East Asia & Pacific (developing only),EAP,2014,2020299887
Euro area,EMU,2014,338727768
Europe & Central Asia (all income levels),ECS,2014,903133428
Europe & Central Asia (developing only),ECA,2014,264373480
European Union,EUU,2014,508308718
Fragile and conflict affected situations,FCS,2014,463125139
Heavily indebted poor countries (HIPC),HPC,2014,691519099
High income,HIC,2014,1396072649
High income: nonOECD,NOC,2014,326041623
High income: OECD,OEC,2014,1070031026
Latin America & Caribbean (all income levels),LCN,2014,622024526
Latin America & Caribbean (developing only),LAC,2014,521945903
Least developed countries: UN classification,LDC,2014,918997231
Low & middle income,LMY,2014,5811662381
Low income,LIC,2014,613191601
Lower middle income,LMC,2014,2843565167
Middle East & North Africa (all income levels),MEA,2014,409850421
Middle East & North Africa (developing only),MNA,2014,351374775
Middle income,MIC,2014,5198470780
North America,NAC,2014,354462656
OECD members,OED,2014,1269667261
Other small states,OSS,2014,20539658
Pacific island small states,PSS,2014,2307414
Small states,SST,2014,29885861
South Asia,SAS,2014,1692204727
Sub-Saharan Africa (all income levels),SSF,2014,962333196
Sub-Saharan Africa (developing only),SSA,2014,961463609
Upper middle income,UMC,2014,2354905613
World,WLD,2014,7207735030
Afghanistan,AFG,2014,31280518
Albania,ALB,2014,2894475
Algeria,DZA,2014,39928947
American Samoa,ASM,2014,55320
Andorra,AND,2014,80153
Angola,AGO,2014,22137261
Antigua and Barbuda,ATG,2014,90903
Argentina,ARG,2014,41803125
Armenia,ARM,2014,2983990
Aruba,ABW,2014,103431
Australia,AUS,2014,23490736
Austria,AUT,2014,8534492
Azerbaijan,AZE,2014,9537823
"Bahamas, The",BHS,2014,382571
Bahrain,BHR,2014,1344111
Bangladesh,BGD,2014,158512570
Barbados,BRB,2014,286066
Belarus,BLR,2014,9470000
Belgium,BEL,2014,11225207
Belize,BLZ,2014,339758
Benin,BEN,2014,10599510
Bermuda,BMU,2014,65181
Bhutan,BTN,2014,765552
Bolivia,BOL,2014,10847664
Bosnia and Herzegovina,BIH,2014,3824746
Botswana,BWA,2014,2038587
Brazil,BRA,2014,202033670
Brunei Darussalam,BRN,2014,423205
Bulgaria,BGR,2014,7226291
Burkina Faso,BFA,2014,17419615
Burundi,BDI,2014,10482752
Cabo Verde,CPV,2014,503637
Cambodia,KHM,2014,15408270
Cameroon,CMR,2014,22818632
Canada,CAN,2014,35540419
Cayman Islands,CYM,2014,59226
Central African Republic,CAF,2014,4709203
Chad,TCD,2014,13211146
Channel Islands,CHI,2014,162778
Chile,CHL,2014,17772871
China,CHN,2014,1364270000
Colombia,COL,2014,48929706
Comoros,COM,2014,752438
"Congo, Dem. Rep.",COD,2014,69360118
"Congo, Rep.",COG,2014,4558594
Costa Rica,CRI,2014,4937755
Cote d'Ivoire,CIV,2014,20804774
Croatia,HRV,2014,4236400
Cuba,CUB,2014,11258597
Curacao,CUW,2014,155872
Cyprus,CYP,2014,1153058
Czech Republic,CZE,2014,10510566
Denmark,DNK,2014,5639565
Djibouti,DJI,2014,886313
Dominica,DMA,2014,72341
Dominican Republic,DOM,2014,10528954
Ecuador,ECU,2014,15982551
"Egypt, Arab Rep.",EGY,2014,83386739
El Salvador,SLV,2014,6383752
Equatorial Guinea,GNQ,2014,778061
Eritrea,ERI,2014,6536176
Estonia,EST,2014,1313645
Ethiopia,ETH,2014,96506031
Faeroe Islands,FRO,2014,49460
Fiji,FJI,2014,887027
Finland,FIN,2014,5463596
France,FRA,2014,66201365
French Polynesia,PYF,2014,279835
Gabon,GAB,2014,1711294
